date,source,destination,transfer_type,gb_transferred,cost
2026-02-14,service-6,service-7,cross-region,598.44,11.97
2026-02-14,service-7,service-8,internet-egress,2375.33,106.89
2026-02-14,service-8,service-9,VPC-peering,2371.74,23.72
2026-02-14,service-9,service-10,cross-AZ,2062.6,20.63
2026-02-14,service-10,service-11,cross-region,2345.33,46.91
2026-02-14,service-11,service-12,internet-egress,1696.79,76.36
2026-02-14,service-12,service-1,VPC-peering,663.16,6.63
2026-02-14,service-1,service-2,cross-AZ,1924.51,19.25
2026-02-14,service-2,service-3,cross-region,880.66,17.61
2026-02-14,service-3,service-4,internet-egress,1157.16,52.07
2026-02-14,service-4,service-5,VPC-peering,758.44,7.58
2026-02-14,service-5,service-6,cross-AZ,1116.69,11.17
2026-02-14,service-6,service-7,cross-region,1730.36,34.61
2026-02-14,service-7,service-8,internet-egress,365.47,16.45
2026-02-14,service-8,service-9,VPC-peering,352.5,3.52
2026-02-15,service-1,service-2,cross-AZ,1741.05,17.41
2026-02-15,service-2,service-3,cross-region,1970.99,39.42
2026-02-15,service-3,service-4,internet-egress,1423.52,64.06
2026-02-15,service-4,service-5,VPC-peering,535.94,5.36
2026-02-15,service-5,service-6,cross-AZ,1133.82,11.34
2026-02-15,service-6,service-7,cross-region,1919.62,38.39
2026-02-15,service-7,service-8,internet-egress,1745.76,78.56
2026-02-15,service-8,service-9,VPC-peering,363.68,3.64
2026-02-15,service-9,service-10,cross-AZ,2425.95,24.26
2026-02-15,service-10,service-11,cross-region,636.07,12.72
2026-02-15,service-11,service-12,internet-egress,628.93,28.3
2026-02-15,service-12,service-1,VPC-peering,1203.66,12.04
2026-02-15,service-1,service-2,cross-AZ,885.38,8.85
2026-02-15,service-2,service-3,cross-region,2461.57,49.23
2026-02-15,service-3,service-4,internet-egress,283.58,12.76
2026-02-15,service-4,service-5,VPC-peering,835.45,8.35
2026-02-15,service-5,service-6,cross-AZ,1018.53,10.19
2026-02-15,service-6,service-7,cross-region,1284.3,25.69
2026-02-15,service-7,service-8,internet-egress,139.38,6.27
2026-02-15,service-8,service-9,VPC-peering,297.67,2.98
2026-02-16,service-1,service-2,cross-AZ,718.74,7.19
2026-02-16,service-2,service-3,cross-region,1429.6,28.59
2026-02-16,service-3,service-4,internet-egress,1942.65,87.42
2026-02-16,service-4,service-5,VPC-peering,1747.59,17.48
2026-02-16,service-5,service-6,cross-AZ,1460.86,14.61
2026-02-16,service-6,service-7,cross-region,1053.36,21.07
2026-02-16,service-7,service-8,internet-egress,2189.67,98.54
2026-02-16,service-8,service-9,VPC-peering,1203.45,12.03
2026-02-16,service-9,service-10,cross-AZ,818.21,8.18
2026-02-16,service-10,service-11,cross-region,1610.4,32.21
2026-02-16,service-11,service-12,internet-egress,1761.08,79.25
2026-02-16,service-12,service-1,VPC-peering,1056.33,10.56
2026-02-16,service-1,service-2,cross-AZ,167.54,1.68
2026-02-16,service-2,service-3,cross-region,325.92,6.52
2026-02-16,service-3,service-4,internet-egress,2129.44,95.82
2026-02-16,service-4,service-5,VPC-peering,235.72,2.36
2026-02-16,service-5,service-6,cross-AZ,1520.85,15.21
2026-02-16,service-6,service-7,cross-region,540.9,10.82
2026-02-16,service-7,service-8,internet-egress,649.42,29.22
2026-02-16,service-8,service-9,VPC-peering,756.0,7.56
2026-02-17,service-1,service-2,cross-AZ,191.9,1.92
2026-02-17,service-2,service-3,cross-region,525.36,10.51
2026-02-17,service-3,service-4,internet-egress,1661.2,74.75
2026-02-17,service-4,service-5,VPC-peering,1296.92,12.97
2026-02-17,service-5,service-6,cross-AZ,2013.59,20.14
2026-02-17,service-6,service-7,cross-region,246.98,4.94
2026-02-17,service-7,service-8,internet-egress,2233.36,100.5
2026-02-17,service-8,service-9,VPC-peering,2491.36,24.91
2026-02-17,service-9,service-10,cross-AZ,137.78,1.38
2026-02-17,service-10,service-11,cross-region,2422.34,48.45
2026-02-17,service-11,service-12,internet-egress,666.07,29.97
2026-02-17,service-12,service-1,VPC-peering,1762.1,17.62
2026-02-17,service-1,service-2,cross-AZ,801.96,8.02
2026-02-17,service-2,service-3,cross-region,1352.35,27.05
2026-02-17,service-3,service-4,internet-egress,1325.0,59.63
2026-02-17,service-4,service-5,VPC-peering,966.65,9.67
2026-02-17,service-5,service-6,cross-AZ,1822.11,18.22
2026-02-17,service-6,service-7,cross-region,1539.13,30.78
2026-02-17,service-7,service-8,internet-egress,1319.86,59.39
2026-02-17,service-8,service-9,VPC-peering,2458.81,24.59
2026-02-18,service-1,service-2,cross-AZ,2356.02,23.56
2026-02-18,service-2,service-3,cross-region,2393.05,47.86
2026-02-18,service-3,service-4,internet-egress,2215.18,99.68
2026-02-18,service-4,service-5,VPC-peering,712.37,7.12
2026-02-18,service-5,service-6,cross-AZ,939.94,9.4
2026-02-18,service-6,service-7,cross-region,654.53,13.09
2026-02-18,service-7,service-8,internet-egress,2466.82,111.01
2026-02-18,service-8,service-9,VPC-peering,466.39,4.66
2026-02-18,service-9,service-10,cross-AZ,979.63,9.8
2026-02-18,service-10,service-11,cross-region,577.71,11.55
2026-02-18,service-11,service-12,internet-egress,636.29,28.63
2026-02-18,service-12,service-1,VPC-peering,693.01,6.93
2026-02-18,service-1,service-2,cross-AZ,1635.21,16.35
2026-02-18,service-2,service-3,cross-region,282.52,5.65
2026-02-18,service-3,service-4,internet-egress,1474.07,66.33
2026-02-18,service-4,service-5,VPC-peering,2066.29,20.66
2026-02-18,service-5,service-6,cross-AZ,1939.66,19.4
2026-02-18,service-6,service-7,cross-region,462.81,9.26
2026-02-18,service-7,service-8,internet-egress,2295.36,103.29
2026-02-18,service-8,service-9,VPC-peering,1948.22,19.48
2026-02-19,service-1,service-2,cross-AZ,112.73,1.13
2026-02-19,service-2,service-3,cross-region,1869.7,37.39
2026-02-19,service-3,service-4,internet-egress,1869.81,84.14
2026-02-19,service-4,service-5,VPC-peering,1292.36,12.92
2026-02-19,service-5,service-6,cross-AZ,210.36,2.1
2026-02-19,service-6,service-7,cross-region,1491.77,29.84
2026-02-19,service-7,service-8,internet-egress,1937.79,87.2
2026-02-19,service-8,service-9,VPC-peering,750.1,7.5
2026-02-19,service-9,service-10,cross-AZ,1700.96,17.01
2026-02-19,service-10,service-11,cross-region,949.42,18.99
2026-02-19,service-11,service-12,internet-egress,1477.25,66.48
2026-02-19,service-12,service-1,VPC-peering,1022.96,10.23
2026-02-19,service-1,service-2,cross-AZ,829.03,8.29
2026-02-19,service-2,service-3,cross-region,2154.19,43.08
2026-02-19,service-3,service-4,internet-egress,1909.21,85.91
2026-02-19,service-4,service-5,VPC-peering,929.08,9.29
2026-02-19,service-5,service-6,cross-AZ,1143.12,11.43
2026-02-19,service-6,service-7,cross-region,1760.09,35.2
2026-02-19,service-7,service-8,internet-egress,2046.59,92.1
2026-02-19,service-8,service-9,VPC-peering,1742.42,17.42
2026-02-20,service-1,service-2,cross-AZ,1398.24,13.98
2026-02-20,service-2,service-3,cross-region,2390.53,47.81
2026-02-20,service-3,service-4,internet-egress,1957.94,88.11
2026-02-20,service-4,service-5,VPC-peering,377.42,3.77
2026-02-20,service-5,service-6,cross-AZ,1439.53,14.4
2026-02-20,service-6,service-7,cross-region,1082.94,21.66
2026-02-20,service-7,service-8,internet-egress,2007.85,90.35
2026-02-20,service-8,service-9,VPC-peering,207.19,2.07
2026-02-20,service-9,service-10,cross-AZ,1085.74,10.86
2026-02-20,service-10,service-11,cross-region,863.86,17.28
2026-02-20,service-11,service-12,internet-egress,438.85,19.75
2026-02-20,service-12,service-1,VPC-peering,1009.13,10.09
2026-02-20,service-1,service-2,cross-AZ,1714.72,17.15
2026-02-20,service-2,service-3,cross-region,968.03,19.36
2026-02-20,service-3,service-4,internet-egress,1492.02,67.14
2026-02-20,service-4,service-5,VPC-peering,1522.75,15.23
2026-02-20,service-5,service-6,cross-AZ,1509.07,15.09
2026-02-20,service-6,service-7,cross-region,1370.88,27.42
2026-02-20,service-7,service-8,internet-egress,380.77,17.13
2026-02-20,service-8,service-9,VPC-peering,624.29,6.24
2026-02-21,service-1,service-2,cross-AZ,2020.16,20.2
2026-02-21,service-2,service-3,cross-region,1305.68,26.11
2026-02-21,service-3,service-4,internet-egress,1794.58,80.76
2026-02-21,service-4,service-5,VPC-peering,1467.78,14.68
2026-02-21,service-5,service-6,cross-AZ,192.86,1.93
2026-02-21,service-6,service-7,cross-region,2010.91,40.22
2026-02-21,service-7,service-8,internet-egress,254.38,11.45
2026-02-21,service-8,service-9,VPC-peering,2363.62,23.64
2026-02-21,service-9,service-10,cross-AZ,616.9,6.17
2026-02-21,service-10,service-11,cross-region,1329.77,26.6
2026-02-21,service-11,service-12,internet-egress,252.61,11.37
2026-02-21,service-12,service-1,VPC-peering,2247.84,22.48
2026-02-21,service-1,service-2,cross-AZ,2451.86,24.52
2026-02-21,service-2,service-3,cross-region,451.1,9.02
2026-02-21,service-3,service-4,internet-egress,809.89,36.44
2026-02-21,service-4,service-5,VPC-peering,138.1,1.38
2026-02-21,service-5,service-6,cross-AZ,1988.72,19.89
2026-02-21,service-6,service-7,cross-region,847.51,16.95
2026-02-21,service-7,service-8,internet-egress,1513.21,68.09
2026-02-21,service-8,service-9,VPC-peering,194.12,1.94
2026-02-22,service-1,service-2,cross-AZ,1817.1,18.17
2026-02-22,service-2,service-3,cross-region,1370.57,27.41
2026-02-22,service-3,service-4,internet-egress,1839.95,82.8
2026-02-22,service-4,service-5,VPC-peering,1994.95,19.95
2026-02-22,service-5,service-6,cross-AZ,314.18,3.14
2026-02-22,service-6,service-7,cross-region,1487.42,29.75
2026-02-22,service-7,service-8,internet-egress,1659.87,74.69
2026-02-22,service-8,service-9,VPC-peering,1340.13,13.4
2026-02-22,service-9,service-10,cross-AZ,537.78,5.38
2026-02-22,service-10,service-11,cross-region,2009.43,40.19
2026-02-22,service-11,service-12,internet-egress,2493.9,112.23
2026-02-22,service-12,service-1,VPC-peering,2426.25,24.26
2026-02-22,service-1,service-2,cross-AZ,1966.07,19.66
2026-02-22,service-2,service-3,cross-region,1103.46,22.07
2026-02-22,service-3,service-4,internet-egress,909.52,40.93
2026-02-22,service-4,service-5,VPC-peering,264.51,2.65
2026-02-22,service-5,service-6,cross-AZ,1099.09,10.99
2026-02-22,service-6,service-7,cross-region,474.52,9.49
2026-02-22,service-7,service-8,internet-egress,710.4,31.97
2026-02-22,service-8,service-9,VPC-peering,2240.53,22.41
2026-02-23,service-1,service-2,cross-AZ,2424.46,24.24
2026-02-23,service-2,service-3,cross-region,2376.54,47.53
2026-02-23,service-3,service-4,internet-egress,564.05,25.38
2026-02-23,service-4,service-5,VPC-peering,2262.15,22.62
2026-02-23,service-5,service-6,cross-AZ,439.61,4.4
2026-02-23,service-6,service-7,cross-region,1318.38,26.37
2026-02-23,service-7,service-8,internet-egress,1644.79,74.02
2026-02-23,service-8,service-9,VPC-peering,1209.92,12.1
2026-02-23,service-9,service-10,cross-AZ,2384.41,23.84
2026-02-23,service-10,service-11,cross-region,899.71,17.99
2026-02-23,service-11,service-12,internet-egress,1365.71,61.46
2026-02-23,service-12,service-1,VPC-peering,281.08,2.81
2026-02-23,service-1,service-2,cross-AZ,2145.34,21.45
2026-02-23,service-2,service-3,cross-region,1092.07,21.84
2026-02-23,service-3,service-4,internet-egress,1781.28,80.16
2026-02-23,service-4,service-5,VPC-peering,1737.39,17.37
2026-02-23,service-5,service-6,cross-AZ,1723.03,17.23
2026-02-23,service-6,service-7,cross-region,1316.65,26.33
2026-02-23,service-7,service-8,internet-egress,766.05,34.47
2026-02-23,service-8,service-9,VPC-peering,1600.23,16.0
2026-02-24,service-1,service-2,cross-AZ,2408.3,24.08
2026-02-24,service-2,service-3,cross-region,2101.48,42.03
2026-02-24,service-3,service-4,internet-egress,361.04,16.25
2026-02-24,service-4,service-5,VPC-peering,155.65,1.56
2026-02-24,service-5,service-6,cross-AZ,1297.53,12.98
2026-02-24,service-6,service-7,cross-region,1961.99,39.24
2026-02-24,service-7,service-8,internet-egress,853.37,38.4
2026-02-24,service-8,service-9,VPC-peering,1782.97,17.83
2026-02-24,service-9,service-10,cross-AZ,2336.61,23.37
2026-02-24,service-10,service-11,cross-region,1201.56,24.03
2026-02-24,service-11,service-12,internet-egress,685.98,30.87
2026-02-24,service-12,service-1,VPC-peering,2302.62,23.03
2026-02-24,service-1,service-2,cross-AZ,1233.43,12.33
2026-02-24,service-2,service-3,cross-region,1078.81,21.58
2026-02-24,service-3,service-4,internet-egress,948.07,42.66
2026-02-24,service-4,service-5,VPC-peering,1115.24,11.15
2026-02-24,service-5,service-6,cross-AZ,1716.78,17.17
2026-02-24,service-6,service-7,cross-region,1140.93,22.82
2026-02-24,service-7,service-8,internet-egress,878.14,39.52
2026-02-24,service-8,service-9,VPC-peering,1884.73,18.85
2026-02-25,service-1,service-2,cross-AZ,587.13,5.87
2026-02-25,service-2,service-3,cross-region,584.64,11.69
2026-02-25,service-3,service-4,internet-egress,1771.45,79.72
2026-02-25,service-4,service-5,VPC-peering,2180.1,21.8
2026-02-25,service-5,service-6,cross-AZ,678.91,6.79
2026-02-25,service-6,service-7,cross-region,558.7,11.17
2026-02-25,service-7,service-8,internet-egress,1708.73,76.89
2026-02-25,service-8,service-9,VPC-peering,1589.93,15.9
2026-02-25,service-9,service-10,cross-AZ,1173.41,11.73
2026-02-25,service-10,service-11,cross-region,330.07,6.6
2026-02-25,service-11,service-12,internet-egress,320.29,14.41
2026-02-25,service-12,service-1,VPC-peering,1965.62,19.66
2026-02-25,service-1,service-2,cross-AZ,1184.25,11.84
2026-02-25,service-2,service-3,cross-region,2159.12,43.18
2026-02-25,service-3,service-4,internet-egress,1479.36,66.57
2026-02-25,service-4,service-5,VPC-peering,1584.97,15.85
2026-02-25,service-5,service-6,cross-AZ,2342.07,23.42
2026-02-25,service-6,service-7,cross-region,495.08,9.9
2026-02-25,service-7,service-8,internet-egress,1403.26,63.15
2026-02-25,service-8,service-9,VPC-peering,239.53,2.4
2026-02-26,service-1,service-2,cross-AZ,961.42,9.61
2026-02-26,service-2,service-3,cross-region,455.44,9.11
2026-02-26,service-3,service-4,internet-egress,550.81,24.79
2026-02-26,service-4,service-5,VPC-peering,2343.51,23.44
2026-02-26,service-5,service-6,cross-AZ,1565.64,15.66
2026-02-26,service-6,service-7,cross-region,2241.18,44.82
2026-02-26,service-7,service-8,internet-egress,1164.45,52.4
2026-02-26,service-8,service-9,VPC-peering,1534.34,15.34
2026-02-26,service-9,service-10,cross-AZ,177.03,1.77
2026-02-26,service-10,service-11,cross-region,1226.81,24.54
2026-02-26,service-11,service-12,internet-egress,1453.74,65.42
2026-02-26,service-12,service-1,VPC-peering,140.27,1.4
2026-02-26,service-1,service-2,cross-AZ,1994.77,19.95
2026-02-26,service-2,service-3,cross-region,809.02,16.18
2026-02-26,service-3,service-4,internet-egress,1185.97,53.37
2026-02-26,service-4,service-5,VPC-peering,1385.51,13.86
2026-02-26,service-5,service-6,cross-AZ,2481.27,24.81
2026-02-26,service-6,service-7,cross-region,338.04,6.76
2026-02-26,service-7,service-8,internet-egress,1432.67,64.47
2026-02-26,service-8,service-9,VPC-peering,1373.43,13.73
2026-02-27,service-1,service-2,cross-AZ,265.38,2.65
2026-02-27,service-2,service-3,cross-region,1621.45,32.43
2026-02-27,service-3,service-4,internet-egress,788.45,35.48
2026-02-27,service-4,service-5,VPC-peering,349.04,3.49
2026-02-27,service-5,service-6,cross-AZ,528.74,5.29
2026-02-27,service-6,service-7,cross-region,2076.65,41.53
2026-02-27,service-7,service-8,internet-egress,349.9,15.75
2026-02-27,service-8,service-9,VPC-peering,1220.63,12.21
2026-02-27,service-9,service-10,cross-AZ,568.66,5.69
2026-02-27,service-10,service-11,cross-region,489.57,9.79
2026-02-27,service-11,service-12,internet-egress,593.71,26.72
2026-02-27,service-12,service-1,VPC-peering,1282.68,12.83
2026-02-27,service-1,service-2,cross-AZ,670.69,6.71
2026-02-27,service-2,service-3,cross-region,332.16,6.64
2026-02-27,service-3,service-4,internet-egress,2023.36,91.05
2026-02-27,service-4,service-5,VPC-peering,1395.57,13.96
2026-02-27,service-5,service-6,cross-AZ,476.45,4.76
2026-02-27,service-6,service-7,cross-region,1231.43,24.63
2026-02-27,service-7,service-8,internet-egress,264.07,11.88
2026-02-27,service-8,service-9,VPC-peering,1493.03,14.93
2026-02-28,service-1,service-2,cross-AZ,916.73,9.17
2026-02-28,service-2,service-3,cross-region,348.47,6.97
2026-02-28,service-3,service-4,internet-egress,540.75,24.33
2026-02-28,service-4,service-5,VPC-peering,929.69,9.3
2026-02-28,service-5,service-6,cross-AZ,2035.38,20.35
2026-02-28,service-6,service-7,cross-region,517.01,10.34
2026-02-28,service-7,service-8,internet-egress,363.19,16.34
2026-02-28,service-8,service-9,VPC-peering,1338.25,13.38
2026-02-28,service-9,service-10,cross-AZ,1440.87,14.41
2026-02-28,service-10,service-11,cross-region,316.58,6.33
2026-02-28,service-11,service-12,internet-egress,782.76,35.22
2026-02-28,service-12,service-1,VPC-peering,730.63,7.31
2026-02-28,service-1,service-2,cross-AZ,546.93,5.47
2026-02-28,service-2,service-3,cross-region,857.53,17.15
2026-02-28,service-3,service-4,internet-egress,189.06,8.51
2026-02-28,service-4,service-5,VPC-peering,1663.72,16.64
2026-02-28,service-5,service-6,cross-AZ,2472.37,24.72
2026-02-28,service-6,service-7,cross-region,1621.71,32.43
2026-02-28,service-7,service-8,internet-egress,966.58,43.5
2026-02-28,service-8,service-9,VPC-peering,1702.98,17.03
2026-03-01,service-1,service-2,cross-AZ,1471.64,14.72
2026-03-01,service-2,service-3,cross-region,2132.22,42.64
2026-03-01,service-3,service-4,internet-egress,1592.5,71.66
2026-03-01,service-4,service-5,VPC-peering,1621.78,16.22
2026-03-01,service-5,service-6,cross-AZ,631.99,6.32
2026-03-01,service-6,service-7,cross-region,1097.51,21.95
2026-03-01,service-7,service-8,internet-egress,926.6,41.7
2026-03-01,service-8,service-9,VPC-peering,127.42,1.27
2026-03-01,service-9,service-10,cross-AZ,851.87,8.52
2026-03-01,service-10,service-11,cross-region,1266.55,25.33
2026-03-01,service-11,service-12,internet-egress,1539.64,69.28
2026-03-01,service-12,service-1,VPC-peering,2342.97,23.43
2026-03-01,service-1,service-2,cross-AZ,673.87,6.74
2026-03-01,service-2,service-3,cross-region,465.83,9.32
2026-03-01,service-3,service-4,internet-egress,2186.67,98.4
2026-03-01,service-4,service-5,VPC-peering,2360.43,23.6
2026-03-01,service-5,service-6,cross-AZ,1271.09,12.71
2026-03-01,service-6,service-7,cross-region,376.52,7.53
2026-03-01,service-7,service-8,internet-egress,1264.93,56.92
2026-03-01,service-8,service-9,VPC-peering,362.66,3.63
2026-03-02,service-1,service-2,cross-AZ,2219.65,22.2
2026-03-02,service-2,service-3,cross-region,1799.56,35.99
2026-03-02,service-3,service-4,internet-egress,678.73,30.54
2026-03-02,service-4,service-5,VPC-peering,2228.06,22.28
2026-03-02,service-5,service-6,cross-AZ,1630.96,16.31
2026-03-02,service-6,service-7,cross-region,2387.83,47.76
2026-03-02,service-7,service-8,internet-egress,2453.15,110.39
2026-03-02,service-8,service-9,VPC-peering,107.88,1.08
2026-03-02,service-9,service-10,cross-AZ,388.51,3.89
2026-03-02,service-10,service-11,cross-region,1412.61,28.25
2026-03-02,service-11,service-12,internet-egress,2394.05,107.73
2026-03-02,service-12,service-1,VPC-peering,2486.16,24.86
2026-03-02,service-1,service-2,cross-AZ,1461.78,14.62
2026-03-02,service-2,service-3,cross-region,517.12,10.34
2026-03-02,service-3,service-4,internet-egress,491.32,22.11
2026-03-02,service-4,service-5,VPC-peering,1933.26,19.33
2026-03-02,service-5,service-6,cross-AZ,1520.65,15.21
2026-03-02,service-6,service-7,cross-region,1417.06,28.34
2026-03-02,service-7,service-8,internet-egress,1217.84,54.8
2026-03-02,service-8,service-9,VPC-peering,1840.32,18.4
2026-03-03,service-1,service-2,cross-AZ,2159.33,21.59
2026-03-03,service-2,service-3,cross-region,827.1,16.54
2026-03-03,service-3,service-4,internet-egress,630.2,28.36
2026-03-03,service-4,service-5,VPC-peering,1708.48,17.08
2026-03-03,service-5,service-6,cross-AZ,2295.36,22.95
2026-03-03,service-6,service-7,cross-region,935.58,18.71
2026-03-03,service-7,service-8,internet-egress,753.88,33.92
2026-03-03,service-8,service-9,VPC-peering,642.68,6.43
2026-03-03,service-9,service-10,cross-AZ,710.78,7.11
2026-03-03,service-10,service-11,cross-region,423.84,8.48
2026-03-03,service-11,service-12,internet-egress,1532.27,68.95
2026-03-03,service-12,service-1,VPC-peering,773.98,7.74
2026-03-03,service-1,service-2,cross-AZ,1575.87,15.76
2026-03-03,service-2,service-3,cross-region,299.28,5.99
2026-03-03,service-3,service-4,internet-egress,377.1,16.97
2026-03-03,service-4,service-5,VPC-peering,1386.74,13.87
2026-03-03,service-5,service-6,cross-AZ,1327.67,13.28
2026-03-03,service-6,service-7,cross-region,751.62,15.03
2026-03-03,service-7,service-8,internet-egress,2085.11,93.83
2026-03-03,service-8,service-9,VPC-peering,548.91,5.49
2026-03-04,service-1,service-2,cross-AZ,965.59,9.66
2026-03-04,service-2,service-3,cross-region,1433.23,28.66
2026-03-04,service-3,service-4,internet-egress,2181.31,98.16
2026-03-04,service-4,service-5,VPC-peering,1104.52,11.05
2026-03-04,service-5,service-6,cross-AZ,1056.64,10.57
2026-03-04,service-6,service-7,cross-region,1490.89,29.82
2026-03-04,service-7,service-8,internet-egress,860.07,38.7
2026-03-04,service-8,service-9,VPC-peering,1802.02,18.02
2026-03-04,service-9,service-10,cross-AZ,696.87,6.97
2026-03-04,service-10,service-11,cross-region,2075.67,41.51
2026-03-04,service-11,service-12,internet-egress,753.65,33.91
2026-03-04,service-12,service-1,VPC-peering,2482.48,24.82
2026-03-04,service-1,service-2,cross-AZ,859.51,8.6
2026-03-04,service-2,service-3,cross-region,2209.18,44.18
2026-03-04,service-3,service-4,internet-egress,1053.65,47.41
2026-03-04,service-4,service-5,VPC-peering,690.53,6.91
2026-03-04,service-5,service-6,cross-AZ,642.79,6.43
2026-03-04,service-6,service-7,cross-region,2140.46,42.81
2026-03-04,service-7,service-8,internet-egress,841.01,37.85
2026-03-04,service-8,service-9,VPC-peering,912.55,9.13
2026-03-05,service-1,service-2,cross-AZ,572.78,5.73
2026-03-05,service-2,service-3,cross-region,2407.18,48.14
2026-03-05,service-3,service-4,internet-egress,687.39,30.93
2026-03-05,service-4,service-5,VPC-peering,693.86,6.94
2026-03-05,service-5,service-6,cross-AZ,2365.35,23.65
2026-03-05,service-6,service-7,cross-region,2262.16,45.24
2026-03-05,service-7,service-8,internet-egress,697.39,31.38
2026-03-05,service-8,service-9,VPC-peering,2175.34,21.75
2026-03-05,service-9,service-10,cross-AZ,699.58,7.0
2026-03-05,service-10,service-11,cross-region,302.71,6.05
2026-03-05,service-11,service-12,internet-egress,2068.87,93.1
2026-03-05,service-12,service-1,VPC-peering,1951.74,19.52
2026-03-05,service-1,service-2,cross-AZ,807.2,8.07
2026-03-05,service-2,service-3,cross-region,316.33,6.33
2026-03-05,service-3,service-4,internet-egress,595.45,26.8
2026-03-05,service-4,service-5,VPC-peering,1950.54,19.51
2026-03-05,service-5,service-6,cross-AZ,2415.39,24.15
2026-03-05,service-6,service-7,cross-region,721.6,14.43
2026-03-05,service-7,service-8,internet-egress,2063.82,92.87
2026-03-05,service-8,service-9,VPC-peering,647.04,6.47
2026-03-06,service-1,service-2,cross-AZ,1731.04,17.31
2026-03-06,service-2,service-3,cross-region,300.67,6.01
2026-03-06,service-3,service-4,internet-egress,1504.71,67.71
2026-03-06,service-4,service-5,VPC-peering,746.06,7.46
2026-03-06,service-5,service-6,cross-AZ,2322.03,23.22
2026-03-06,service-6,service-7,cross-region,795.4,15.91
2026-03-06,service-7,service-8,internet-egress,1056.26,47.53
2026-03-06,service-8,service-9,VPC-peering,2117.63,21.18
2026-03-06,service-9,service-10,cross-AZ,1151.86,11.52
2026-03-06,service-10,service-11,cross-region,672.19,13.44
2026-03-06,service-11,service-12,internet-egress,1414.11,63.63
2026-03-06,service-12,service-1,VPC-peering,2115.98,21.16
2026-03-06,service-1,service-2,cross-AZ,1139.63,11.4
2026-03-06,service-2,service-3,cross-region,418.93,8.38
2026-03-06,service-3,service-4,internet-egress,1019.41,45.87
2026-03-06,service-4,service-5,VPC-peering,2390.74,23.91
2026-03-06,service-5,service-6,cross-AZ,272.85,2.73
2026-03-06,service-6,service-7,cross-region,1080.27,21.61
2026-03-06,service-7,service-8,internet-egress,1655.27,74.49
2026-03-06,service-8,service-9,VPC-peering,288.44,2.88
2026-03-07,service-1,service-2,cross-AZ,927.89,9.28
2026-03-07,service-2,service-3,cross-region,2357.39,47.15
2026-03-07,service-3,service-4,internet-egress,173.53,7.81
2026-03-07,service-4,service-5,VPC-peering,1904.18,19.04
2026-03-07,service-5,service-6,cross-AZ,2119.3,21.19
2026-03-07,service-6,service-7,cross-region,764.95,15.3
2026-03-07,service-7,service-8,internet-egress,615.31,27.69
2026-03-07,service-8,service-9,VPC-peering,2295.57,22.96
2026-03-07,service-9,service-10,cross-AZ,1933.6,19.34
2026-03-07,service-10,service-11,cross-region,372.11,7.44
2026-03-07,service-11,service-12,internet-egress,609.27,27.42
2026-03-07,service-12,service-1,VPC-peering,1591.25,15.91
2026-03-07,service-1,service-2,cross-AZ,1106.6,11.07
2026-03-07,service-2,service-3,cross-region,1310.02,26.2
2026-03-07,service-3,service-4,internet-egress,2383.7,107.27
2026-03-07,service-4,service-5,VPC-peering,1108.57,11.09
2026-03-07,service-5,service-6,cross-AZ,2216.04,22.16
2026-03-07,service-6,service-7,cross-region,1685.79,33.72
2026-03-07,service-7,service-8,internet-egress,391.89,17.63
2026-03-07,service-8,service-9,VPC-peering,1886.82,18.87
2026-03-08,service-1,service-2,cross-AZ,1348.5,13.49
2026-03-08,service-2,service-3,cross-region,640.23,12.8
2026-03-08,service-3,service-4,internet-egress,794.92,35.77
2026-03-08,service-4,service-5,VPC-peering,1437.6,14.38
2026-03-08,service-5,service-6,cross-AZ,1544.09,15.44
2026-03-08,service-6,service-7,cross-region,2423.62,48.47
2026-03-08,service-7,service-8,internet-egress,2151.33,96.81
2026-03-08,service-8,service-9,VPC-peering,594.01,5.94
2026-03-08,service-9,service-10,cross-AZ,1957.58,19.58
2026-03-08,service-10,service-11,cross-region,119.9,2.4
2026-03-08,service-11,service-12,internet-egress,411.54,18.52
2026-03-08,service-12,service-1,VPC-peering,579.28,5.79
2026-03-08,service-1,service-2,cross-AZ,1533.28,15.33
2026-03-08,service-2,service-3,cross-region,567.24,11.34
2026-03-08,service-3,service-4,internet-egress,976.66,43.95
2026-03-08,service-4,service-5,VPC-peering,682.67,6.83
2026-03-08,service-5,service-6,cross-AZ,909.8,9.1
2026-03-08,service-6,service-7,cross-region,2361.88,47.24
2026-03-08,service-7,service-8,internet-egress,2493.7,112.22
2026-03-08,service-8,service-9,VPC-peering,1745.73,17.46
2026-03-09,service-1,service-2,cross-AZ,1473.54,14.74
2026-03-09,service-2,service-3,cross-region,1800.27,36.01
2026-03-09,service-3,service-4,internet-egress,1951.97,87.84
2026-03-09,service-4,service-5,VPC-peering,1873.63,18.74
2026-03-09,service-5,service-6,cross-AZ,296.54,2.97
2026-03-09,service-6,service-7,cross-region,844.7,16.89
2026-03-09,service-7,service-8,internet-egress,924.24,41.59
2026-03-09,service-8,service-9,VPC-peering,986.21,9.86
2026-03-09,service-9,service-10,cross-AZ,926.35,9.26
2026-03-09,service-10,service-11,cross-region,1989.02,39.78
2026-03-09,service-11,service-12,internet-egress,1894.25,85.24
2026-03-09,service-12,service-1,VPC-peering,111.04,1.11
2026-03-09,service-1,service-2,cross-AZ,811.32,8.11
